Id,SalePrice
1461,124053.20112284333
1462,160161.25390177307
1463,186172.67576476242
1464,198195.49438462657
1465,198277.68296593675
1466,171318.91493284845
1467,174596.2069808734
1468,166644.82569850262
1469,184214.35935174063
1470,128937.88357884054
1471,188277.06043232282
1472,96874.71033658658
1473,101151.06628330864
1474,144303.20753568027
1475,107148.55910014326
1476,378172.6884061653
1477,254910.97936977653
1478,277454.356041256
1479,289747.87370920554
1480,512658.57715132256
1481,351630.65034569823
1482,212093.25244781387
1483,180110.18568258279
1484,167596.78421903308
1485,183898.87770908748
1486,196460.91324123816
1487,349064.2936007561
1488,237846.97386622525
1489,202523.72049963495
1490,242799.58830804707
1491,195306.99719264344
1492,97300.43792701136
1493,190396.70360123453
1494,286949.9900626873
1495,280007.25733870943
1496,247814.41682448314
1497,185863.06971287867
1498,171564.9621276012
1499,161960.71831439913
1500,161943.62982919815
1501,180231.1107792402
1502,138939.36819764203
1503,284828.814619761
1504,239508.19544183664
1505,230578.48080136985
1506,192440.65260567647
1507,244998.28789213023
1508,195538.92236161634
1509,166547.05913700754
1510,150643.93674539856
1511,144426.95853310416
1512,184593.09758756703
1513,148019.4696082955
1514,152247.58977234835
1515,192512.83433649785
1516,149024.42343637513
1517,165372.44754375712
1518,127736.62396127882
1519,222829.73723968279
1520,137969.90362250688
1521,141179.28647345718
1522,175050.865098404
1523,117155.61902403615
1524,126200.95737733186
1525,120052.20652558247
1526,114225.82206678427
1527,109671.85201992274
1528,131460.83607287952
1529,156617.50711616754
1530,188510.6955564279
1531,98806.707754621
1532,88467.47549428836
1533,143940.325185076
1534,117500.16393691143
1535,159314.68703765832
1536,107793.10398055818
1537,60387.2067812128
1538,154579.48486747532
1539,199351.366287636
1540,89331.77439200351
1541,140866.39242033876
1542,143862.27204573114
1543,194717.993961223
1544,89106.49998700156
1545,108488.296902793
1546,129605.08642173035
1547,129124.62321317432
1548,134713.95911530554
1549,118994.49045257266
1550,133673.17722077947
1551,104966.79057974144
1552,139073.26768883356
1553,149484.00844687573
1554,120419.41102047046
1555,166731.1856572087
1556,90934.95615297164
1557,106134.50135864237
1558,94773.44673516596
1559,74430.38304716199
1560,124327.58215287603
1561,128382.48197227211
1562,125247.42815516905
1563,117147.64694564049
1564,158789.0254029221
1565,141131.93586951922
1566,255564.88262052074
1567,78614.26796518307
1568,239938.86788131113
1569,134164.14752616925
1570,139617.0161926604
1571,120424.79170048026
1572,146999.94971663234
1573,259225.0089428318
1574,118944.9622627434
1575,240634.08561386538
1576,244082.63397625627
1577,178229.43619500054
1578,139129.39620568044
1579,150024.55458190216
1580,192314.72371251284
1581,151384.0941373971
1582,121703.8762991401
1583,297902.5348158249
1584,221961.6757455779
1585,141972.0715780167
1586,69331.73026494915
1587,101515.81430650214
1588,154347.79223599748
1589,100935.18865375238
1590,128889.73973957701
1591,95124.47613881221
1592,119778.88345204147
1593,117762.44937854726
1594,124544.8596420365
1595,107916.1524139624
1596,228117.4525511877
1597,196392.68415233388
1598,224246.10282559428
1599,166856.5862020113
1600,160638.95145032738
1601,59394.45818701154
1602,116543.50240147873
1603,80409.52533877303
1604,288092.78335010336
1605,240673.1945583863
1606,175683.04964028875
1607,175204.89868102525
1608,206010.1566122458
1609,190423.28652639015
1610,154249.27053088776
1611,140141.03444211552
1612,171615.07689582426
1613,159435.04789294826
1614,122636.71247656901
1615,91965.17884367086
1616,79611.84543089123
1617,89275.0569205669
1618,123399.21169713866
1619,142407.11191034582
1620,153447.380757302
1621,137796.55237819796
1622,140117.3137444265
1623,269043.3556488513
1624,216527.3580935401
1625,117497.25978718454
1626,170535.01414616973
1627,189110.11209731534
1628,277961.6616054365
1629,182850.15734245413
1630,379814.2746943993
1631,234004.4703189949
1632,247697.58592583417
1633,172729.3406751706
1634,188582.2357123611
1635,172157.55702289505
1636,146701.19296373223
1637,208233.44828800583
1638,183192.64506101827
1639,185052.92863572921
1640,266154.00690827164
1641,181487.32538088632
1642,232325.5860075436
1643,219446.0142587624
1644,236358.5663098707
1645,195179.87692391145
1646,160960.48193134135
1647,161002.07643879033
1648,127496.12107223035
1649,145657.39597694058
1650,113965.39476330325
1651,123388.98978811104
1652,99598.69131192281
1653,102774.37598739727
1654,143226.66370314083
1655,133965.03880957948
1656,142629.09253128435
1657,142617.03504021643
1658,149334.4589314813
1659,113960.26163193428
1660,150208.41799561618
1661,458691.251323668
1662,402248.97252567066
1663,381870.0465450878
1664,526214.3778942775
1665,302061.84166030644
1666,345432.10771744925
1667,408368.47467985784
1668,340674.40996703925
1669,294933.0554973591
1670,348216.90926178073
1671,276996.0135000098
1672,444706.398791158
1673,300846.490630808
1674,240448.19474795618
1675,199882.81631489084
1676,196187.86555954965
1677,231172.96112364787
1678,489612.1246557834
1679,410937.71003801277
1680,343163.717237452
1681,245320.44454869456
1682,318809.8962072865
1683,186808.70763248036
1684,171474.10703266287
1685,170017.43228365981
1686,167948.6774558753
1687,165288.17325791912
1688,187705.65060436114
1689,195337.76814542394
1690,193143.65447322777
1691,178576.58798041794
1692,258104.82475282735
1693,167363.50291685
1694,183708.24993404478
1695,163686.59916270114
1696,277551.09673815186
1697,171043.5221889628
1698,358321.1740992231
1699,323824.77688785025
1700,262854.10207266186
1701,274413.86627467256
1702,245455.70553400376
1703,247275.28880831608
1704,287056.3732728849
1705,240813.00595719725
1706,467691.7045760804
1707,227500.15231104937
1708,209358.90860279463
1709,267428.52738501015
1710,226473.14979388152
1711,276056.9892065088
1712,264343.97639625677
1713,283059.876473567
1714,231047.22624285604
1715,207604.11496836515
1716,179806.39649087226
1717,170890.69164725972
1718,126012.31456986301
1719,214184.05275754275
1720,238794.9751285024
1721,163663.59396385908
1722,123778.95865685635
1723,159876.3096136819
1724,214744.3458057286
1725,234014.86680340435
1726,186523.31051393357
1727,157567.86832534513
1728,179799.25841302561
1729,171277.50565612636
1730,148258.68082582133
1731,114886.71916213752
1732,130137.25101737681
1733,113152.40828516557
1734,125818.70845309037
